hub,target,oxygen,r,p,q,kept
RPA1737,RPA0002,Aerobic,-0.25059432262202075,0.11884411670116792,0.23921704184414383,False
RPA1737,RPA0004,Aerobic,0.40180559597359444,0.010170329468831625,0.03801103556512824,False
RPA1737,RPA0008,Aerobic,0.22377042073228454,0.16512330709028125,0.30288424505235045,False
RPA1737,RPA0009,Aerobic,0.1212029418813433,0.45627151496692425,0.6137336462878711,False
RPA1737,RPA0010,Aerobic,0.046804609891080956,0.7742740564996999,0.861786952506662,False
RPA1737,RPA0016,Aerobic,-0.19166175565672766,0.23611253911347854,0.3900825931129352,False
RPA1737,RPA0018,Aerobic,-0.05019472599841168,0.7583968898101457,0.8509897141723461,False
RPA1737,RPA0021,Aerobic,-0.494986757655073,0.0011658346436820477,0.007018827017440051,False
RPA1737,RPA0022,Aerobic,-0.4055704335402604,0.009421854020824807,0.03583007119537005,False
RPA1737,RPA0025,Aerobic,-0.12656160538584782,0.43645068921025126,0.5959484643729294,False
RPA1737,RPA0027,Aerobic,-0.3384880329957103,0.032645620293615826,0.09254616700630391,False
RPA1737,RPA0028,Aerobic,-0.3325650586882045,0.036018051010148495,0.09956427881865765,False
RPA1737,RPA0030,Aerobic,-0.43738508483593036,0.00476872960957243,0.0211298007176423,False
RPA1737,RPA0031,Aerobic,0.29432658681126733,0.06525174577825937,0.15473979951645261,False
RPA1737,RPA0035,Aerobic,-0.04799507323606561,0.768687979457778,0.8577318602764767,False
RPA1737,RPA0036,Aerobic,0.44776728416290945,0.0037647223962756255,0.017607813605705496,False
RPA1737,RPA0037,Aerobic,-0.5490880992753087,0.00024342046644173032,0.0020404742976270172,False
RPA1737,RPA0038,Aerobic,0.06239255192489576,0.7021163122486019,0.8117893093560563,False
RPA1737,RPA0041,Aerobic,-0.4901281100784923,0.0013255748428594987,0.007773599129319866,False
RPA1737,RPA0043,Aerobic,0.4571333288974765,0.0030224988325374,0.014835950862609864,False
RPA1737,RPA0045,Aerobic,-0.33482292401698444,0.0347003288660497,0.0968308755320679,False
RPA1737,RPA0046,Aerobic,-0.5789790853059023,9.078301183262226e-05,0.000931970764492271,False
RPA1737,RPA0047,Aerobic,0.16133107542545597,0.31996659499926944,0.4827540994924882,False
RPA1737,RPA0048,Aerobic,0.3314498387174124,0.03668385649575242,0.10095580282053233,False
RPA1737,RPA0049,Aerobic,-0.1045820681131768,0.5207265656762742,0.6712991044659489,False
RPA1737,RPA0050,Aerobic,-0.010585949184960197,0.9483092475498873,0.9709536077606034,False
RPA1737,RPA0051,Aerobic,0.014789153193424803,0.9278313423776597,0.9590353442764291,False
RPA1737,RPA0052,Aerobic,0.22937417109555436,0.15451847886975856,0.2887654380137095,False
RPA1737,RPA0053,Aerobic,0.3269721490851133,0.039459171985438364,0.1065779127589835,False
RPA1737,RPA0054,Aerobic,-0.47438760894076504,0.0019841689533174815,0.010681544291962492,False
RPA1737,RPA0055,Aerobic,0.06413242241642372,0.6942069497704224,0.8059930843504947,False
RPA1737,RPA0058,Aerobic,0.39543030310626576,0.011553697943985055,0.041975345692659094,False
RPA1737,RPA0059,Aerobic,-0.6074056718615759,3.2363110359833646e-05,0.00040847233554056094,False
RPA1737,RPA0060,Aerobic,0.40780156524727335,0.009000939217917609,0.03457847611241698,False
RPA1737,RPA0061,Aerobic,-0.19895488342859097,0.21841668529876018,0.36938205779845784,False
RPA1737,RPA0063,Aerobic,-0.38392770423286676,0.014456371240222863,0.04993827980728165,False
RPA1737,RPA0064,Aerobic,0.03731715636434746,0.8191721062557437,0.8915543015311551,False
RPA1737,RPA0065,Aerobic,0.19077884066748957,0.2383189985082735,0.3927955567713476,False
RPA1737,RPA0066,Aerobic,0.5170120383846131,0.0006357254660135981,0.004360587386452969,False
RPA1737,RPA0067,Aerobic,0.013915838127117566,0.9320827717038637,0.9616074799372606,False
RPA1737,RPA0068,Aerobic,0.2643579326333146,0.09927022456227014,0.21013156888593248,False
RPA1737,RPA0069,Aerobic,0.06266004454840313,0.7008982630601975,0.811008136654538,False
RPA1737,RPA0070,Aerobic,-0.10745708269066478,0.5092649323883992,0.6612319992448114,False
RPA1737,RPA0071,Aerobic,-0.4959615851850202,0.001135923514534767,0.0068705119906762365,False
RPA1737,RPA0073,Aerobic,0.7213827114546953,1.5077812178802862e-07,5.581763206403224e-06,False
RPA1737,RPA0075,Aerobic,0.5241744133857759,0.0005172917508223855,0.003697099757581606,False
RPA1737,RPA0076,Aerobic,-0.4188839682198907,0.0071407254023037525,0.028851632336586348,False
RPA1737,RPA0078,Aerobic,0.3741840453461399,0.01737686086081723,0.057467344388563255,False
RPA1737,RPA0080,Aerobic,-0.5065370743476845,0.000852561803193565,0.005484053536476134,False
RPA1737,RPA0083,Aerobic,-0.46694145928518843,0.0023856935237909355,0.012331683425792581,False
RPA1737,RPA0085,Aerobic,0.4091308803891482,0.00875789869481794,0.033841241474974894,False
RPA1737,RPA0089,Aerobic,0.3576610598963431,0.023460555985566147,0.0719518358724922,False
RPA1737,RPA0090,Aerobic,-0.18300777936192553,0.2583420660472072,0.4158566612036268,False
RPA1737,RPA0091,Aerobic,0.5179940567588595,0.0006181729631801183,0.004263371064078137,False
RPA1737,RPA0092,Aerobic,0.09210380161827225,0.5719052534975241,0.7133205813640182,False
RPA1737,RPA0095,Aerobic,-0.4542413329950597,0.003236652178678359,0.015639637009816132,False
RPA1737,RPA0109,Aerobic,-0.26053657254059304,0.10443822225103401,0.21774368807902922,False
RPA1737,RPA0118,Aerobic,-0.4180368026697199,0.007270170045140951,0.029261890799834517,False
RPA1737,RPA0119,Aerobic,-0.4492062454711404,0.0036412683473331744,0.0171501867712513,False
RPA1737,RPA0122,Aerobic,0.5297427961358478,0.0004392877422709076,0.0032578389189816368,False
RPA1737,RPA0136,Aerobic,0.18802785717215756,0.24528326926754862,0.40105652411222914,False
RPA1737,RPA0139,Aerobic,0.37284107175803954,0.01781585497583703,0.05858559568073482,False
RPA1737,RPA0144,Aerobic,0.6435260328302133,7.4931273448061835e-06,0.00012696644319405064,False
RPA1737,RPA0147,Aerobic,0.5796417720445354,8.872230257717003e-05,0.0009153384500486466,False
RPA1737,RPA0157,Aerobic,-0.7682454027644366,7.166163253710091e-09,4.903356111055532e-07,False
RPA1737,RPA0158,Aerobic,-0.21634145330937,0.17997953700953678,0.3222501401106577,False
RPA1737,RPA0159,Aerobic,-0.1286610187063745,0.4288172236012449,0.5891186314489449,False
RPA1737,RPA0162,Aerobic,-0.5809250526702097,8.485183891886897e-05,0.0008823979230177076,False
RPA1737,RPA0164,Aerobic,-0.5593007557913263,0.00017562397994082369,0.0015783481901627454,False
RPA1737,RPA0168,Aerobic,0.15644888831669587,0.33502218444918935,0.49812658614821714,False
RPA1737,RPA0169,Aerobic,-0.06384725138112002,0.6955011609476911,0.8069372572915158,False
RPA1737,RPA0170,Aerobic,-0.1657142642537435,0.30681777534928567,0.4687863577999864,False
RPA1737,RPA0171,Aerobic,0.38242927914607666,0.01487641795248948,0.05102940840133925,False
RPA1737,RPA0173,Aerobic,0.07598205065387525,0.6412233686984836,0.7667638849694183,False
RPA1737,RPA0174,Aerobic,-0.34090135039416325,0.03134809623480985,0.08968023562337622,False
RPA1737,RPA0175,Aerobic,0.2144634825837968,0.183881402662755,0.3271936228032178,False
RPA1737,RPA0176,Aerobic,-0.5635764011370624,0.00015270330726777187,0.001413420271557939,False
RPA1737,RPA0178,Aerobic,-0.0733602775956445,0.6528073246992413,0.7753825779217762,False
RPA1737,RPA0179,Aerobic,-0.44875435126722407,0.00367965197010327,0.017299120767796557,False
RPA1737,RPA0180,Aerobic,0.03547782767568983,0.8279475518261719,0.8969098552896088,False
RPA1737,RPA0185,Aerobic,0.4420510322022523,0.004291910226490461,0.019493099605492482,False
RPA1737,RPA0186,Aerobic,-0.08585226317395137,0.5983784646986672,0.7338004104691591,False
RPA1737,RPA0188,Aerobic,-0.5209084117089976,0.0005686004151293015,0.00398799188840796,False
RPA1737,RPA0189,Aerobic,-0.25063035379309573,0.11878934202467731,0.23913659648122387,False
RPA1737,RPA0190,Aerobic,-0.3775556943797528,0.016314671062646394,0.054860128341096576,False
RPA1737,RPA0191,Aerobic,-0.5265887619028768,0.000482066574799116,0.0035001848245755952,False
RPA1737,RPA0192,Aerobic,-0.5147947120650151,0.0006770034422722438,0.004587985389378962,False
RPA1737,RPA0193,Aerobic,0.27297876556868517,0.088332308505304,0.19326731853878504,False
RPA1737,RPA0196,Aerobic,-0.6083597042748101,3.1208002107533755e-05,0.0003974343990792233,False
RPA1737,RPA0198,Aerobic,-0.49789564355077426,0.001078587155775446,0.00658887243378297,False
RPA1737,RPA0199,Aerobic,-0.13461414139587874,0.40758178271445866,0.5692073396818312,False
RPA1737,RPA0202,Aerobic,-0.3901733247839736,0.012811980359642205,0.04552188409776059,False
RPA1737,RPA0206,Aerobic,-0.5419594648704922,0.0003038398347514668,0.0024325263517931016,False
RPA1737,RPA0207,Aerobic,0.4612695222515608,0.0027377879307598227,0.01373316336540433,False
RPA1737,RPA0209,Aerobic,-0.35316095578462353,0.025395314410761323,0.07647801488303303,False
RPA1737,RPA0211,Aerobic,-0.1388961099141428,0.3926871120749539,0.5546938905952062,False
RPA1737,RPA0215,Aerobic,-0.5091777768538528,0.0007924606832961004,0.005184610288414808,False
RPA1737,RPA0216,Aerobic,-0.6522621708122995,5.109928548275499e-06,9.323743073169803e-05,False
RPA1737,RPA0217,Aerobic,-0.42817987144305775,0.005845718291861233,0.024752637659160685,False
RPA1737,RPA0218,Aerobic,-0.746596406181528,3.176562697030781e-08,1.604979174957855e-06,False
RPA1737,RPA0221,Aerobic,0.07816670960901159,0.6316342365875749,0.7595226489251738,False
RPA1737,RPA0222,Aerobic,-0.4095305534052638,0.008685935236916789,0.0336291556070136,False
RPA1737,RPA0224,Aerobic,0.14907466691156188,0.3585779002893298,0.5220697382869035,False
RPA1737,RPA0225,Aerobic,0.4713875795855813,0.0021381538217210097,0.011319555410514348,False
RPA1737,RPA0227,Aerobic,-0.5462690710944631,0.0002658839626110048,0.0021872105085290403,False
RPA1737,RPA0228,Aerobic,-0.14291400524166592,0.3790034517493175,0.541452662860781,False
RPA1737,RPA0230,Aerobic,0.3720634668965661,0.018074276234978058,0.059208709506720025,False
