hub,target,oxygen,r,p,q,kept
RPA4230,RPA0002,Aerobic,0.2482755581657569,0.12240922013013103,0.22428008664256224,False
RPA4230,RPA0004,Aerobic,-0.6684650967970536,2.430077833722228e-06,3.870361024726927e-05,False
RPA4230,RPA0008,Aerobic,-0.3384212694825679,0.03268213377557591,0.08138138224301587,False
RPA4230,RPA0009,Aerobic,-0.3158602818921579,0.04709049022768857,0.10794499878747395,False
RPA4230,RPA0010,Aerobic,0.002920628198295064,0.9857298336519142,0.9910118238154505,False
RPA4230,RPA0016,Aerobic,0.1400315145942304,0.3887914655203462,0.5280880403558961,False
RPA4230,RPA0018,Aerobic,0.17447608578052418,0.2815794425456949,0.41753696838591786,False
RPA4230,RPA0021,Aerobic,0.4864829645531724,0.0014578414289333859,0.006985131195722774,False
RPA4230,RPA0022,Aerobic,0.40542875716573956,0.00944914155816466,0.030752141016791894,False
RPA4230,RPA0025,Aerobic,0.2360062311279521,0.14261986186104011,0.25160602211683614,False
RPA4230,RPA0027,Aerobic,-0.2462202276963398,0.12563582559400194,0.22863084695567756,False
RPA4230,RPA0028,Aerobic,0.046773499102848545,0.7744201912446258,0.8499254107772106,False
RPA4230,RPA0030,Aerobic,0.4044188785067889,0.009645615458245924,0.03126632854630866,False
RPA4230,RPA0031,Aerobic,0.02860601135760689,0.8609075203955437,0.9106597921887322,False
RPA4230,RPA0035,Aerobic,-0.3302815584375829,0.03739209684182645,0.09026989878795225,False
RPA4230,RPA0036,Aerobic,-0.5369325610089423,0.00035421151760722585,0.0022448169317841105,False
RPA4230,RPA0037,Aerobic,0.38529368236894934,0.014082240827623998,0.04207533760941426,False
RPA4230,RPA0038,Aerobic,-0.090073685732233,0.5804433667762998,0.6998445527449986,False
RPA4230,RPA0041,Aerobic,0.49255364993698403,0.0012435584496068353,0.006149947451972254,False
RPA4230,RPA0043,Aerobic,-0.6352669099983397,1.0644142506168212e-05,0.00012923408884210958,False
RPA4230,RPA0045,Aerobic,0.21110680474857874,0.19100465049948598,0.3130284322732381,False
RPA4230,RPA0046,Aerobic,0.4786546227537448,0.001781990020484013,0.008212146140718066,False
RPA4230,RPA0047,Aerobic,-0.115904227674679,0.47633861900969465,0.6092491651293209,False
RPA4230,RPA0048,Aerobic,-0.25628680388051334,0.11042370929818571,0.20746687240811634,False
RPA4230,RPA0049,Aerobic,-0.10003538600263026,0.5391090982882172,0.664574054691787,False
RPA4230,RPA0050,Aerobic,0.05621517034257019,0.7304443156482877,0.817330619842171,False
RPA4230,RPA0052,Aerobic,-0.22800453973629814,0.1570633475914927,0.27036357944192996,False
RPA4230,RPA0053,Aerobic,0.019516013451058356,0.9048575303609766,0.9395851526673265,False
RPA4230,RPA0054,Aerobic,0.4949785826870656,0.001166088404733579,0.005842013407368805,False
RPA4230,RPA0055,Aerobic,-0.19598040760887903,0.22552001210687025,0.3543324568059561,False
RPA4230,RPA0058,Aerobic,-0.4096240950118961,0.008669165947760047,0.028718775259372258,False
RPA4230,RPA0059,Aerobic,0.3626363504161023,0.021465997345703154,0.058649225559233686,False
RPA4230,RPA0060,Aerobic,-0.47457699418730365,0.001974784568781017,0.008915476540822276,False
RPA4230,RPA0061,Aerobic,0.2992762812860986,0.060652150574401584,0.13120861550058166,False
RPA4230,RPA0063,Aerobic,0.30490672792544427,0.05573750136926079,0.12287533616350116,False
RPA4230,RPA0064,Aerobic,-0.3274995419909329,0.03912366085764468,0.09347066661208614,False
RPA4230,RPA0065,Aerobic,-0.35191618483781334,0.025953287087439325,0.06799020317025835,False
RPA4230,RPA0066,Aerobic,-0.5957959458501172,4.9902621596654755e-05,0.0004577531945413376,False
RPA4230,RPA0067,Aerobic,0.18392033929987459,0.2559344717327119,0.3892259829224994,False
RPA4230,RPA0068,Aerobic,-0.3415854806119238,0.030988097262528515,0.07808287771907706,False
RPA4230,RPA0069,Aerobic,0.21657545424540556,0.17949752241123093,0.2989530200948208,False
RPA4230,RPA0070,Aerobic,-0.0017733851566276784,0.9913349741429814,0.9946375963508077,False
RPA4230,RPA0071,Aerobic,0.3448511343862095,0.029316273320985367,0.0748140207614304,False
RPA4230,RPA0073,Aerobic,-0.4930117450420954,0.001228583541147148,0.006088739103872571,False
RPA4230,RPA0075,Aerobic,-0.3458846875276338,0.02880293813300879,0.0737573835048982,False
RPA4230,RPA0076,Aerobic,0.571824359922356,0.00011596026663484998,0.0009083134502221418,False
RPA4230,RPA0078,Aerobic,-0.20208862532600744,0.2111015667074157,0.33737692272371456,False
RPA4230,RPA0080,Aerobic,0.5477862852792765,0.0002535725947873001,0.001714391016903418,False
RPA4230,RPA0083,Aerobic,0.43573964914476576,0.0049475171370268935,0.018469751931004415,False
RPA4230,RPA0085,Aerobic,-0.4927118284794019,0.0012383694931780921,0.006128754343434906,False
RPA4230,RPA0089,Aerobic,-0.4327609865071677,0.005285996649146576,0.019488966068429616,False
RPA4230,RPA0090,Aerobic,0.4328659477495711,0.005273736826484176,0.01945613829708488,False
RPA4230,RPA0091,Aerobic,-0.6010770886042778,4.106563392680783e-05,0.0003902536035037603,False
RPA4230,RPA0092,Aerobic,-0.34213924295888715,0.030699199752110908,0.07752635275315588,False
RPA4230,RPA0095,Aerobic,0.15706176901684926,0.3331085324892083,0.47225743381783064,False
RPA4230,RPA0109,Aerobic,0.36966025361666865,0.01889293201356363,0.053017933620736445,False
RPA4230,RPA0118,Aerobic,0.41751767376083765,0.007350485801500212,0.02525003714663406,False
RPA4230,RPA0119,Aerobic,0.4438337964121054,0.004120998700643998,0.015987572896032684,False
RPA4230,RPA0122,Aerobic,-0.3762004880315811,0.016734836247656218,0.04823555897530413,False
RPA4230,RPA0136,Aerobic,-0.4534295486049498,0.00329910006099407,0.013399797076604934,False
RPA4230,RPA0139,Aerobic,-0.3227535008577594,0.04222815434254998,0.09922498881471789,False
RPA4230,RPA0144,Aerobic,-0.4888241383056937,0.0013716164201256023,0.006652964207537344,False
RPA4230,RPA0147,Aerobic,-0.5113522495905958,0.0007458342809998009,0.004078273087034453,False
RPA4230,RPA0157,Aerobic,0.6987043933247228,5.336410233491423e-07,1.1159535416428901e-05,False
RPA4230,RPA0158,Aerobic,0.5798210557031516,8.817212928108499e-05,0.000726827205092015,False
RPA4230,RPA0159,Aerobic,0.4459585390667879,0.003925067324284106,0.015383920881783223,False
RPA4230,RPA0162,Aerobic,0.745419021616343,3.429829636941141e-08,1.1911595035099565e-06,False
RPA4230,RPA0164,Aerobic,0.5211518332198679,0.0005646251796941235,0.003264175895238171,False
RPA4230,RPA0168,Aerobic,-0.3950763860849874,0.011634972537097858,0.03623464866702761,False
RPA4230,RPA0169,Aerobic,0.044659360236052506,0.7843685307222189,0.8570940563418654,False
RPA4230,RPA0170,Aerobic,0.12389779762106913,0.446243550569861,0.5818400898225243,False
RPA4230,RPA0171,Aerobic,-0.332132950625941,0.03627484381190817,0.08821739068760336,False
RPA4230,RPA0173,Aerobic,-0.22734719548291576,0.1582955099869727,0.27202834038342905,False
RPA4230,RPA0174,Aerobic,0.5446107919967641,0.000279952475246523,0.0018570161350015075,False
RPA4230,RPA0175,Aerobic,-0.3750714689768344,0.017091801386880292,0.04903512264616663,False
RPA4230,RPA0176,Aerobic,0.44312398101462286,0.004188324395102186,0.016196003245507806,False
RPA4230,RPA0178,Aerobic,-0.22509162332096863,0.16257688183495253,0.2775665540222154,False
RPA4230,RPA0179,Aerobic,0.5829575616599559,7.90338688555185e-05,0.0006639883503116112,False
RPA4230,RPA0180,Aerobic,-0.2586159655482097,0.10711186659973759,0.2027651939937564,False
RPA4230,RPA0185,Aerobic,-0.44069205591155514,0.004426304150468158,0.0169092037292072,False
RPA4230,RPA0186,Aerobic,-0.1584539684652539,0.328786769562149,0.4678608349716183,False
RPA4230,RPA0188,Aerobic,0.4337553146869285,0.005170841110393678,0.01914948122459004,False
RPA4230,RPA0189,Aerobic,-0.08998272832555641,0.5808272463979183,0.7001704711259988,False
RPA4230,RPA0190,Aerobic,0.39145188031442013,0.012495714344057746,0.03831256108430229,False
RPA4230,RPA0191,Aerobic,0.6091054288450423,3.0331404303771006e-05,0.0003048853348586013,False
RPA4230,RPA0192,Aerobic,0.41677183049019745,0.007467213493795441,0.025564886296795136,False
RPA4230,RPA0193,Aerobic,-0.08929105247029467,0.5837501430147927,0.702517606347911,False
RPA4230,RPA0196,Aerobic,0.2637038430654439,0.10014063404336507,0.1925047684411066,False
RPA4230,RPA0198,Aerobic,0.5711728751190754,0.00011854061172808962,0.0009251493117228922,False
RPA4230,RPA0199,Aerobic,0.12782326917744954,0.43185430452680035,0.5687092081358649,False
RPA4230,RPA0202,Aerobic,0.08509491421976538,0.6016214872851181,0.7169018660721029,False
RPA4230,RPA0206,Aerobic,0.6193735883319543,2.033672317760792e-05,0.00021987734164526616,False
RPA4230,RPA0207,Aerobic,-0.6816773490119225,1.280723619907857e-06,2.2920501043949217e-05,False
RPA4230,RPA0209,Aerobic,0.48289169934938675,0.001599430885806255,0.00752170789224125,False
RPA4230,RPA0211,Aerobic,-0.19509368943142463,0.22766786411472828,0.35684457579401463,False
RPA4230,RPA0215,Aerobic,0.4911965522031639,0.0012888747729958778,0.006330708103852174,False
RPA4230,RPA0216,Aerobic,0.4121588610855562,0.008225206712153064,0.02755465443915836,False
RPA4230,RPA0217,Aerobic,0.11916235595590136,0.4639450069787134,0.5979122417902288,False
RPA4230,RPA0218,Aerobic,0.780338359852217,2.9044300121512187e-09,1.5898340337390832e-07,False
RPA4230,RPA0221,Aerobic,-0.2683165840217209,0.0941254651440895,0.1836618561911488,False
RPA4230,RPA0222,Aerobic,0.6325310834728568,1.1929760069269288e-05,0.00014176495199926006,False
RPA4230,RPA0224,Aerobic,-0.15326630142494835,0.34506843596285586,0.4845413215595943,False
RPA4230,RPA0225,Aerobic,-0.4363935189812128,0.0048757852913219385,0.01825876781937607,False
RPA4230,RPA0227,Aerobic,0.38786318579607554,0.013400668409093746,0.040488009344468,False
RPA4230,RPA0228,Aerobic,0.18109938583554588,0.2634255289209486,0.39755039119308555,False
RPA4230,RPA0230,Aerobic,0.06804389051512408,0.676542980774712,0.7762828123917194,False
RPA4230,RPA0232,Aerobic,0.6209588143316969,1.9095421945394155e-05,0.0002089180310799684,False
RPA4230,RPA0234,Aerobic,-0.17464078193442917,0.28111838432855607,0.41699320562504927,False
RPA4230,RPA0235,Aerobic,-0.02331514959166045,0.8864470747305917,0.9276738199612149,False
RPA4230,RPA0240,Aerobic,0.2589644106775086,0.10662297714774836,0.20209475526641235,False
RPA4230,RPA0241,Aerobic,0.17298577234987142,0.28577387791243397,0.42203290592081627,False
RPA4230,RPA0242,Aerobic,0.0844452485133882,0.6044094505857737,0.7192445116835943,False
RPA4230,RPA0243,Aerobic,0.025951514841614055,0.8737052641604368,0.9193225284129202,False
RPA4230,RPA0244,Aerobic,0.4183188730743137,0.007226847887796812,0.02492906971559655,False
RPA4230,RPA0245,Aerobic,0.08378733471697164,0.6072384669072802,0.7215503948647894,False
RPA4230,RPA0248,Aerobic,-0.029447474147920837,0.8568578451302186,0.9080199659794219,False
RPA4230,RPA0249,Aerobic,-0.42552373934482424,0.006193163214650411,0.022085636038456608,False
RPA4230,RPA0250,Aerobic,-0.16860057944456233,0.2983497719513308,0.43586827449332677,False
RPA4230,RPA0253,Aerobic,0.48631950620510456,0.0014640367357097264,0.007007074303348985,False
RPA4230,RPA0254,Aerobic,-0.1133722935214134,0.48608873131045577,0.6181591066501176,False
RPA4230,RPA0256,Aerobic,0.5094695983739161,0.000786056145773428,0.004252892521510642,False
RPA4230,RPA0257,Aerobic,-0.3343117723000947,0.03499512941298029,0.0857932553479774,False
RPA4230,RPA0258,Aerobic,-0.41696979321194194,0.0074360770357508495,0.025479535282683027,False
RPA4230,RPA0259,Aerobic,-0.3612449143123819,0.02200898634669511,0.059783568498917396,False
RPA4230,RPA0262,Aerobic,-0.21293725673385297,0.1870964457194369,0.30825881247507586,False
RPA4230,RPA0263,Aerobic,0.34938574236504827,0.027118951043790435,0.07037268103788355,False
RPA4230,RPA0267,Aerobic,-0.019517918760769637,0.9048482841819269,0.9395826524452552,False
RPA4230,RPA0268,Aerobic,0.47320904377082507,0.0020434565738894498,0.009158978318481,False
RPA4230,RPA0269,Aerobic,-0.2836263096693358,0.07613759027853918,0.15624325691339533,False
RPA4230,RPA0271,Aerobic,-0.45956905214511756,0.002851858880299321,0.01192221756202844,False
RPA4230,RPA0272,Aerobic,0.26645294281503495,0.09652132243995169,0.1872034858696118,False
RPA4230,RPA0274,Aerobic,-0.6045279179877011,3.608734623667055e-05,0.000351289801716308,False
RPA4230,RPA0280,Aerobic,0.24460328918597335,0.1282185885238992,0.23219163388257708,False
RPA4230,RPA0282,Aerobic,0.09589029154458184,0.5561353527297269,0.6793518042365716,False
RPA4230,RPA0283,Aerobic,0.7175012510995831,1.8880366708922604e-07,4.783067112794352e-06,False
RPA4230,RPA0287,Aerobic,0.2657683308864652,0.0974131080981895,0.18849955985797512,False
RPA4230,RPA0288,Aerobic,0.44802863133335036,0.00374203290412389,0.01480264982566989,False
RPA4230,RPA0291,Aerobic,-0.2621914365873143,0.1021755773907466,0.1955083867934016,False
RPA4230,RPA0292,Aerobic,0.4695406360451429,0.0022380963391106564,0.009841030284306808,False
RPA4230,RPA0293,Aerobic,0.32139397124027214,0.043153393650939974,0.10091744776748623,False
RPA4230,RPA0295,Aerobic,-0.016877360692227034,0.9176738655097623,0.9479026790549162,False
RPA4230,RPA0296,Aerobic,0.5361924827869635,0.0003622283718955191,0.0022846719062500427,False
RPA4230,RPA0298,Aerobic,-0.3082537445949437,0.05297033911077242,0.11811364267737147,False
RPA4230,RPA0300,Aerobic,-0.07416889960045625,0.6492257959517046,0.7546911847846153,False
RPA4230,RPA0302,Aerobic,0.3695225555281691,0.01894076633552062,0.05311681517565584,False
RPA4230,RPA0306,Aerobic,0.6259972706152725,1.559523503334928e-05,0.00017687524871992882,False
RPA4230,RPA0308,Aerobic,0.3316753872057374,0.036548394681121185,0.08872991742531987,False
RPA4230,RPA0309,Aerobic,-0.3489461924711141,0.027325786542861122,0.07080223893159672,False
RPA4230,RPA0311,Aerobic,0.5082793971457215,0.000812469880410934,0.004368530751486432,False
RPA4230,RPA0312,Aerobic,0.5260973440092684,0.0004890572279755375,0.0029047012789574266,False
RPA4230,RPA0313,Aerobic,0.535952803346843,0.0003648593528905396,0.0022983855638334643,False
RPA4230,RPA0314,Aerobic,-0.23318974422530925,0.14758762688188118,0.25811950834171515,False
RPA4230,RPA0322,Aerobic,0.005681133214551798,0.9722459820006953,0.9828937243285539,False
RPA4230,RPA0325,Aerobic,0.25330160418879577,0.11478117450304201,0.21361043991998477,False
RPA4230,RPA0326,Aerobic,0.2642927029567601,0.09935676594464056,0.1913256093320624,False
RPA4230,RPA0327,Aerobic,-0.3566977751581225,0.02386403329528369,0.06367478447323104,False
RPA4230,RPA0328,Aerobic,0.4182265732715139,0.007240999340260373,0.024963533647388552,False
RPA4230,RPA0329,Aerobic,0.42428080139134594,0.006361784959036325,0.02257344085769692,False
RPA4230,RPA0330,Aerobic,-0.19470267739827038,0.22861942346446443,0.35796919231730756,False
RPA4230,RPA0331,Aerobic,-0.14376005729559022,0.3761584097214996,0.5154676215206024,False
RPA4230,RPA0332,Aerobic,0.3994310799087137,0.010668058349497203,0.03385600778637756,False
RPA4230,RPA0333,Aerobic,0.22799640059056078,0.15707856126368655,0.2703809979900072,False
RPA4230,RPA0334,Aerobic,0.5866439930638188,6.939630798756423e-05,0.0005970715658113816,False
RPA4230,RPA0336,Aerobic,0.36836359354421255,0.01934741492002752,0.05402896529399923,False
RPA4230,RPA0337,Aerobic,0.33297626061304786,0.035775065382003354,0.0872498360871666,False
RPA4230,RPA0338,Aerobic,0.08991668699440585,0.5811060408675649,0.700399950549733,False
RPA4230,RPA0339,Aerobic,0.46696819488155705,0.002384132827252636,0.010337541453785709,False
RPA4230,RPA0340,Aerobic,0.11335493422689394,0.4861559350425557,0.6182187494683146,False
RPA4230,RPA0351,Aerobic,-0.24029305303792797,0.13529677298025045,0.24180686660263714,False
RPA4230,RPA0352,Aerobic,0.6546513838763373,4.592211564091645e-06,6.496811216509957e-05,False
RPA4230,RPA0354,Aerobic,0.4725428909859431,0.002077652469551568,0.009282112771268444,False
RPA4230,RPA0355,Aerobic,-0.48619057955559486,0.0014689396494918761,0.007026875416390612,False
RPA4230,RPA0356,Aerobic,0.5700781523237505,0.00012299365470418727,0.0009526115633240012,False
RPA4230,RPA0358,Aerobic,0.5937953826460034,5.3678540572966005e-05,0.00048531249165720015,False
RPA4230,RPA0359,Aerobic,0.46610490920012554,0.0024349828142592052,0.010505173090588855,False
RPA4230,RPA0360,Aerobic,0.02789713300277248,0.8643218426235868,0.9130401545081421,False
RPA4230,RPA0367,Aerobic,0.2513608750020717,0.117682894158744,0.21767847071781715,False
RPA4230,RPA0371,Aerobic,0.08550190710459339,0.599877768136429,0.7155071857083748,False
RPA4230,RPA0373,Aerobic,0.06961123441064869,0.6695119731842185,0.771028065498072,False
RPA4230,RPA0375,Aerobic,-0.4624607766486133,0.00266027736106262,0.011285218475464662,False
RPA4230,RPA0377,Aerobic,-0.35820070398663245,0.02323701697187226,0.06238070614812707,False
RPA4230,RPA0379,Aerobic,0.3087883448903777,0.05253874159800518,0.11739961103280384,False
RPA4230,RPA0381,Aerobic,-0.11125319793894627,0.49432798777175296,0.6255903124363763,False
RPA4230,RPA0382,Aerobic,-0.522856143627396,0.0005374810859956829,0.0031330269155053813,False
RPA4230,RPA0387,Aerobic,0.30579327947801965,0.05499353274985017,0.12162538040641394,False
RPA4230,RPA0389,Aerobic,0.42448013919998473,0.006334478057391588,0.022494455279081227,False
RPA4230,RPA0392,Aerobic,-0.33456561550097574,0.03484847297541554,0.08551184689280114,False
RPA4230,RPA0395,Aerobic,0.002994689831648842,0.9853680075554409,0.9907988750003667,False
RPA4230,RPA0397,Aerobic,0.31957013244807886,0.0444203750786956,0.10324120547326998,False
