hub,Ae_only,An_only,both_same_sign,sign_flip,mean_abs_delta_r
RPA0450,18.0,1.0,0.0,0.0,0.37774530374480664
RPA0477,10.0,35.0,0.0,0.0,0.3706137058738654
RPA0595,37.0,6.0,0.0,0.0,0.3420750320499543
RPA0747,98.0,3.0,0.0,0.0,0.4264160421578792
RPA1661,3.0,1.0,0.0,0.0,0.34480641980584253
RPA1835,88.0,2.0,4.0,0.0,0.4269970415161224
RPA2435,0.0,0.0,0.0,0.0,0.3369966211219406
RPA2442,39.0,3.0,1.0,0.0,0.3593543581653309
RPA2460,2.0,1.0,0.0,0.0,0.27368399266837923
RPA2463,0.0,40.0,0.0,0.0,0.31072857828719525
RPA2501,19.0,7.0,1.0,0.0,0.306945881696699
RPA2671,0.0,0.0,0.0,0.0,0.25334250677450704
RPA3033,2.0,0.0,0.0,0.0,0.24039054973100832
RPA3185,12.0,45.0,2.0,0.0,0.3140940476923995
RPA3416,125.0,0.0,0.0,0.0,0.4145663169346597
RPA3761,2.0,0.0,0.0,0.0,0.2747376452239374
RPA3771,13.0,0.0,0.0,0.0,0.3366434797119641
RPA3819,103.0,15.0,2.0,1.0,0.494109845743511
RPA4196,8.0,0.0,0.0,0.0,0.35551032721322806
RPA4206,1.0,1.0,0.0,0.0,0.26870497520956366
RPA4244,0.0,0.0,0.0,0.0,0.31070630575208585
RPA4677,0.0,0.0,0.0,0.0,0.2799142797695204
