hub,Ae_only,An_only,both_same_sign,sign_flip,mean_abs_delta_r
PRPA5,0.0,0.0,0.0,0.0,0.2585310399322269
RPA0392,4.0,53.0,7.0,0.0,0.23527986101033543
RPA0460,45.0,0.0,0.0,0.0,0.3684932213268983
RPA0655,0.0,1.0,0.0,0.0,0.3051553144062099
RPA1578,12.0,0.0,0.0,0.0,0.31139676607270894
RPA1589,73.0,5.0,0.0,0.0,0.33138869751188144
RPA1624,44.0,20.0,2.0,0.0,0.36031391645505945
RPA1737,0.0,19.0,0.0,0.0,0.4167968279744657
RPA1791,2.0,0.0,0.0,0.0,0.4517635140736355
RPA2343,0.0,0.0,0.0,0.0,0.2687285060521986
RPA2832,9.0,1.0,0.0,0.0,0.4829836578534094
RPA2841,180.0,8.0,5.0,0.0,0.38567798152214444
RPA2873,29.0,11.0,4.0,0.0,0.3341437258386259
RPA3328,0.0,2.0,1.0,0.0,0.26075944335141105
RPA3482,0.0,0.0,0.0,0.0,0.31778104516510397
RPA3541,0.0,0.0,0.0,0.0,0.36323966876006664
RPA3700,76.0,0.0,0.0,0.0,0.4046614802808416
RPA3763,0.0,6.0,0.0,0.0,0.2767381796152296
RPA4208,0.0,0.0,0.0,0.0,0.297941921608411
RPA4678,0.0,11.0,0.0,0.0,0.4148697059079802
RPA4707,73.0,0.0,0.0,0.0,0.3262311962559558
RPA4740,0.0,4.0,0.0,0.0,0.3156949723653753
