hub,Ae_only,An_only,both_same_sign,sign_flip,mean_abs_delta_r
RPA0188,34.0,22.0,7.0,0.0,0.3613189813838605
RPA0621,2.0,3.0,0.0,0.0,0.2968575836296348
RPA0916,4.0,0.0,0.0,0.0,0.37631999685419293
RPA1579,80.0,2.0,0.0,0.0,0.41735353015764765
RPA1612,0.0,3.0,0.0,0.0,0.25002276873229656
RPA1651,29.0,5.0,0.0,0.0,0.44911888986513615
RPA1745,0.0,0.0,0.0,0.0,0.2599089487680777
RPA1853,0.0,0.0,0.0,0.0,0.2597346010768444
RPA2421,0.0,0.0,0.0,0.0,0.42831467322626443
RPA2427,0.0,0.0,0.0,0.0,0.28721399381866364
RPA2547,0.0,0.0,0.0,0.0,0.32936026434842236
RPA2714,0.0,0.0,0.0,0.0,0.24765342718016886
RPA2803,3.0,1.0,0.0,0.0,0.37273605578675556
RPA3105,4.0,0.0,0.0,0.0,0.27163299665070095
RPA3125,0.0,0.0,0.0,0.0,0.33913940963506267
RPA3287,39.0,17.0,0.0,0.0,0.4314126923575049
RPA3651,80.0,21.0,1.0,0.0,0.40382017441608875
RPA3762,69.0,8.0,0.0,0.0,0.520952230772457
RPA3770,18.0,0.0,1.0,0.0,0.31451251502788086
RPA3923,20.0,0.0,0.0,0.0,0.3776114458099089
RPA4129,159.0,0.0,0.0,0.0,0.38579012021549297
RPA4149,7.0,18.0,0.0,0.0,0.38723436248804555
RPA4152,22.0,1.0,0.0,0.0,0.3135705947952656
RPA4192,87.0,10.0,2.0,0.0,0.35248981866488316
RPA4272,8.0,0.0,0.0,0.0,0.3544875562454693
RPA4359,22.0,0.0,0.0,0.0,0.43527638684853015
RPA4403,99.0,1.0,0.0,0.0,0.46584643532121894
RPA4498,7.0,5.0,0.0,0.0,0.45279402682888675
RPA4550,2.0,1.0,0.0,0.0,0.4090744964957319
RPA4584,0.0,0.0,0.0,0.0,0.2956724847457051
RPA4691,0.0,1.0,0.0,0.0,0.27042762545321275
