hub,Ae_only,An_only,both_same_sign,sign_flip,mean_abs_delta_r
RPA0051,6.0,12.0,0.0,0.0,0.3454172447879895
RPA0233,180.0,0.0,1.0,0.0,0.39693107274744466
RPA0236,3.0,2.0,0.0,0.0,0.4207378073365624
RPA0453,43.0,1.0,0.0,0.0,0.4265045821497746
RPA0485,97.0,3.0,4.0,0.0,0.41823142191376084
RPA0600,33.0,0.0,0.0,0.0,0.35921035319623806
RPA0820,142.0,1.0,2.0,0.0,0.35872528124489234
RPA1285,0.0,0.0,0.0,0.0,0.24893771608612317
RPA1524,73.0,23.0,22.0,0.0,0.3252065407624423
RPA1570,2.0,38.0,1.0,0.0,0.27053340452238966
RPA1610,119.0,2.0,0.0,0.0,0.45736976508031574
RPA1632,63.0,11.0,0.0,0.0,0.36867671291640614
RPA1983,2.0,0.0,0.0,0.0,0.2758902487301198
RPA2057,79.0,18.0,15.0,0.0,0.3319706445646197
RPA2065,2.0,0.0,0.0,0.0,0.35021055527396355
RPA2302,0.0,1.0,0.0,0.0,0.33132616437677653
RPA2331,31.0,3.0,0.0,0.0,0.3220675994550349
RPA2502,115.0,1.0,1.0,0.0,0.44254003105200596
RPA2540,132.0,48.0,12.0,0.0,0.38590034451780353
RPA2543,27.0,35.0,5.0,0.0,0.40041823177184394
RPA2592,16.0,1.0,0.0,0.0,0.2868429124822223
RPA2731,4.0,13.0,0.0,0.0,0.29682307380974365
RPA2749,0.0,3.0,0.0,0.0,0.2505298682414817
RPA2901,27.0,0.0,1.0,0.0,0.3837835710417209
RPA2966,58.0,0.0,0.0,0.0,0.4684546631294301
RPA3151,0.0,1.0,0.0,0.0,0.3055291416426454
RPA3360,21.0,10.0,1.0,0.0,0.3954240101163705
RPA3548,0.0,0.0,0.0,0.0,0.37397543264189365
RPA3592,15.0,0.0,1.0,0.0,0.28546879431577493
RPA3595,0.0,0.0,0.0,0.0,0.2735000104687871
RPA3619,1.0,1.0,0.0,0.0,0.3559749751655667
RPA3643,0.0,1.0,0.0,0.0,0.3098727721552929
RPA3803,223.0,15.0,5.0,0.0,0.4307667397763607
RPA3972,1.0,2.0,1.0,0.0,0.2635238952987939
RPA4025,5.0,2.0,0.0,0.0,0.4159807760147447
RPA4072,104.0,1.0,0.0,0.0,0.4089240050398431
RPA4175,7.0,0.0,0.0,0.0,0.28752008157021125
RPA4230,0.0,2.0,0.0,0.0,0.31531846156819476
RPA4380,0.0,0.0,0.0,0.0,0.218144494217317
RPA4395,12.0,1.0,0.0,0.0,0.336276348804062
RPA4442,0.0,2.0,0.0,0.0,0.3219888989332673
RPA4654,0.0,0.0,0.0,0.0,0.33908985456368684
RPA4791,101.0,19.0,5.0,0.0,0.4206029988134311
