hub,oxygen,n_targets,mean_abs_r,max_abs_r,pos_edges,neg_edges
RPA0450,Aerobic,18.0,0.841431128459523,0.8900716621886098,6.0,12.0
RPA0450,Anaerobic,1.0,0.8277539677370009,0.8277539677370009,1.0,0.0
RPA0477,Aerobic,10.0,0.8304668774123793,0.8943232098498295,7.0,3.0
RPA0477,Anaerobic,35.0,0.8492713033261027,0.9077159863843114,26.0,9.0
RPA0595,Aerobic,37.0,0.8391229663734688,0.940715902921957,27.0,10.0
RPA0595,Anaerobic,6.0,0.8366773401923032,0.8904965375791406,6.0,0.0
RPA0747,Aerobic,98.0,0.8386647406301576,0.9178779725098337,51.0,47.0
RPA0747,Anaerobic,3.0,0.8303708463159079,0.8670526529216666,0.0,3.0
RPA1661,Aerobic,3.0,0.8144592460022474,0.8247826623420691,0.0,3.0
RPA1661,Anaerobic,1.0,0.8012452020393043,0.8012452020393043,1.0,0.0
RPA1835,Aerobic,92.0,0.8535861651050338,0.9792823580453773,43.0,49.0
RPA1835,Anaerobic,6.0,0.8586604114451774,0.941901633835349,5.0,1.0
RPA2442,Aerobic,40.0,0.8391764237383634,0.9078542015272175,23.0,17.0
RPA2442,Anaerobic,4.0,0.8181524047087091,0.8429630159794614,4.0,0.0
RPA2460,Aerobic,2.0,0.8223778806816694,0.826395641502288,2.0,0.0
RPA2460,Anaerobic,1.0,0.8174145793325226,0.8174145793325226,1.0,0.0
RPA2463,Anaerobic,40.0,0.8352341853603644,0.8975673976633525,27.0,13.0
RPA2501,Aerobic,20.0,0.8228110079052365,0.8649073775531447,9.0,11.0
RPA2501,Anaerobic,8.0,0.8286104392997686,0.842466327732983,8.0,0.0
RPA3033,Aerobic,2.0,0.8301504617003895,0.8501781449111043,1.0,1.0
RPA3185,Aerobic,14.0,0.8280791282088614,0.8957016630162405,6.0,8.0
RPA3185,Anaerobic,47.0,0.8445742835294336,0.9320366095831003,25.0,22.0
RPA3416,Aerobic,125.0,0.83773902025746,0.9057186513922382,64.0,61.0
RPA3761,Aerobic,2.0,0.8395297272889042,0.8615330519728899,1.0,1.0
RPA3771,Aerobic,13.0,0.8439508895728923,0.9037766840986449,12.0,1.0
RPA3819,Aerobic,106.0,0.8417360775775268,0.9277131665211255,62.0,44.0
RPA3819,Anaerobic,18.0,0.8565969251647284,0.9269961620113728,16.0,2.0
RPA4196,Aerobic,8.0,0.8381288718324904,0.8769020446671308,6.0,2.0
RPA4206,Aerobic,1.0,0.8133089751999967,0.8133089751999967,1.0,0.0
RPA4206,Anaerobic,1.0,0.818867459787342,0.818867459787342,1.0,0.0
