hub,oxygen,n_targets,mean_abs_r,max_abs_r,pos_edges,neg_edges
RPA0392,Aerobic,11.0,0.8364900256143053,0.8673931453145298,11.0,0.0
RPA0392,Anaerobic,60.0,0.8576227764078239,0.9297436083126351,59.0,1.0
RPA0460,Aerobic,45.0,0.8374876395579174,0.9249090919951899,33.0,12.0
RPA0655,Anaerobic,1.0,0.8483967295796333,0.8483967295796333,1.0,0.0
RPA1578,Aerobic,12.0,0.8317709139525945,0.8727683224468941,6.0,6.0
RPA1589,Aerobic,73.0,0.8746739056886949,0.9613594187627006,69.0,4.0
RPA1589,Anaerobic,5.0,0.819403141641027,0.8414150139770242,4.0,1.0
RPA1624,Aerobic,46.0,0.8382636085914119,0.9044596535262244,13.0,33.0
RPA1624,Anaerobic,22.0,0.8287427924387193,0.8866215608485226,13.0,9.0
RPA1737,Anaerobic,19.0,0.8336164561955357,0.8957332574127834,18.0,1.0
RPA1791,Aerobic,2.0,0.8031236295933895,0.8052404443400254,1.0,1.0
RPA2832,Aerobic,9.0,0.8233564956726148,0.8579085448718893,5.0,4.0
RPA2832,Anaerobic,1.0,0.8086439367135977,0.8086439367135977,1.0,0.0
RPA2841,Aerobic,185.0,0.851404184665907,0.9460291539678782,102.0,83.0
RPA2841,Anaerobic,13.0,0.8313617658007835,0.8720610643181889,8.0,5.0
RPA2873,Aerobic,33.0,0.8333763670245777,0.8918344881168552,30.0,3.0
RPA2873,Anaerobic,15.0,0.8190294154604767,0.8484335104684425,13.0,2.0
RPA3328,Aerobic,1.0,0.8643081287973728,0.8643081287973728,1.0,0.0
RPA3328,Anaerobic,3.0,0.8594108619508288,0.9589094455599586,3.0,0.0
RPA3700,Aerobic,76.0,0.8400613656042069,0.9224449171358522,34.0,42.0
RPA3763,Anaerobic,6.0,0.8437838738504948,0.8716074841481862,5.0,1.0
RPA4678,Anaerobic,11.0,0.843250312679853,0.9099323396204244,5.0,6.0
RPA4707,Aerobic,73.0,0.8434607477082443,0.9188916470949566,28.0,45.0
RPA4740,Anaerobic,4.0,0.8411103891292115,0.8673371810948644,4.0,0.0
