hub,oxygen,n_targets,mean_abs_r,max_abs_r,pos_edges,neg_edges
RPA0188,Aerobic,41.0,0.8346452160571223,0.8936050412461283,30.0,11.0
RPA0188,Anaerobic,29.0,0.833692556219545,0.8962254299343153,27.0,2.0
RPA0621,Aerobic,2.0,0.8231025651665025,0.8360231202587143,1.0,1.0
RPA0621,Anaerobic,3.0,0.8336640610787756,0.8570914104306162,3.0,0.0
RPA0916,Aerobic,4.0,0.8240113190168954,0.8462405616248514,3.0,1.0
RPA1579,Aerobic,80.0,0.8335896328521752,0.9151251991010613,58.0,22.0
RPA1579,Anaerobic,2.0,0.8212146909308509,0.8414150139770243,0.0,2.0
RPA1612,Anaerobic,3.0,0.829746521955597,0.8617599996637572,3.0,0.0
RPA1651,Aerobic,29.0,0.8215130021981231,0.8916650442714331,19.0,10.0
RPA1651,Anaerobic,5.0,0.8229190046795299,0.8395199633735455,5.0,0.0
RPA2803,Aerobic,3.0,0.8208857157539118,0.8341683600994492,3.0,0.0
RPA2803,Anaerobic,1.0,0.8016439423948207,0.8016439423948207,1.0,0.0
RPA3105,Aerobic,4.0,0.8360976626023829,0.8627374611882432,3.0,1.0
RPA3287,Aerobic,39.0,0.8317359425687215,0.9343987686818679,25.0,14.0
RPA3287,Anaerobic,17.0,0.8768863334933693,0.9463979972837143,15.0,2.0
RPA3651,Aerobic,81.0,0.8362707013210804,0.9200867790144083,27.0,54.0
RPA3651,Anaerobic,22.0,0.8271875305624669,0.8739117211721517,16.0,6.0
RPA3762,Aerobic,69.0,0.8319298918737289,0.8962020770875484,44.0,25.0
RPA3762,Anaerobic,8.0,0.8291961708518274,0.8652815027831793,7.0,1.0
RPA3770,Aerobic,19.0,0.860925146306391,0.9577260917317203,8.0,11.0
RPA3770,Anaerobic,1.0,0.803168492133048,0.803168492133048,1.0,0.0
RPA3923,Aerobic,20.0,0.8207729791860551,0.8484042156617576,19.0,1.0
RPA4129,Aerobic,159.0,0.8522771921303758,0.9714109786774858,77.0,82.0
RPA4149,Aerobic,7.0,0.8532951386451497,0.9475992762739862,4.0,3.0
RPA4149,Anaerobic,18.0,0.863152043791431,0.9582585647374986,15.0,3.0
RPA4152,Aerobic,22.0,0.8457822479506223,0.9105791425955574,19.0,3.0
RPA4152,Anaerobic,1.0,0.8150088734927683,0.8150088734927683,1.0,0.0
RPA4192,Aerobic,89.0,0.8433730861293833,0.9223422770915637,41.0,48.0
RPA4192,Anaerobic,12.0,0.8258863705519418,0.875269915303951,4.0,8.0
RPA4272,Aerobic,8.0,0.8206723969877348,0.8558059210167713,5.0,3.0
RPA4359,Aerobic,22.0,0.8243398617547626,0.8860215949246314,10.0,12.0
RPA4403,Aerobic,99.0,0.8519089953708493,0.9336930804322477,64.0,35.0
RPA4403,Anaerobic,1.0,0.8412260467169471,0.8412260467169471,1.0,0.0
RPA4498,Aerobic,7.0,0.8371824620123743,0.8810226975296754,2.0,5.0
RPA4498,Anaerobic,5.0,0.823451402977604,0.8382867917158924,5.0,0.0
RPA4550,Aerobic,2.0,0.8053377753461229,0.8065934198680074,0.0,2.0
RPA4550,Anaerobic,1.0,0.8211656448627689,0.8211656448627689,1.0,0.0
RPA4691,Anaerobic,1.0,0.8102600073178576,0.8102600073178576,1.0,0.0
