hub,oxygen,n_targets,mean_abs_r,max_abs_r,pos_edges,neg_edges
RPA0051,Aerobic,6.0,0.8232193989129944,0.8782675356722478,3.0,3.0
RPA0051,Anaerobic,12.0,0.8279481114810373,0.8582461209590312,12.0,0.0
RPA0233,Aerobic,181.0,0.8576316798844311,0.9551517964887127,118.0,63.0
RPA0233,Anaerobic,1.0,0.8037133764646286,0.8037133764646286,1.0,0.0
RPA0236,Aerobic,3.0,0.8165967391961492,0.8246909882326262,1.0,2.0
RPA0236,Anaerobic,2.0,0.8328001258357203,0.8455861560529704,2.0,0.0
RPA0453,Aerobic,43.0,0.8296537627845957,0.8930478926866575,23.0,20.0
RPA0453,Anaerobic,1.0,0.8954734649605995,0.8954734649605995,1.0,0.0
RPA0485,Aerobic,101.0,0.8507276283573468,0.9698158901121096,57.0,44.0
RPA0485,Anaerobic,7.0,0.8477401212251198,0.9080857532499103,7.0,0.0
RPA0600,Aerobic,33.0,0.8339303869022345,0.9237451927376168,24.0,9.0
RPA0820,Aerobic,144.0,0.8501781379774142,0.9454359794660598,93.0,51.0
RPA0820,Anaerobic,3.0,0.8082262340890712,0.8134995622632659,3.0,0.0
RPA1524,Aerobic,95.0,0.8527256712700959,0.9368554374507835,70.0,25.0
RPA1524,Anaerobic,45.0,0.8403078085835117,0.9020661381155979,43.0,2.0
RPA1570,Aerobic,3.0,0.834677678849142,0.8765816551805579,2.0,1.0
RPA1570,Anaerobic,39.0,0.83809252062693,0.8884673447069313,34.0,5.0
RPA1610,Aerobic,119.0,0.8407433827285775,0.9223210973851342,84.0,35.0
RPA1610,Anaerobic,2.0,0.8130553522351696,0.8150088734927683,2.0,0.0
RPA1632,Aerobic,63.0,0.8367868233494411,0.9235101797384556,50.0,13.0
RPA1632,Anaerobic,11.0,0.8191527310662383,0.862634285908032,10.0,1.0
RPA1983,Aerobic,2.0,0.8206182938002816,0.828396523601131,1.0,1.0
RPA2057,Aerobic,94.0,0.8581078323442337,0.9418860485336531,34.0,60.0
RPA2057,Anaerobic,33.0,0.8386587253547836,0.9381310161411169,18.0,15.0
RPA2065,Aerobic,2.0,0.8243805961725108,0.841969904203258,2.0,0.0
RPA2302,Anaerobic,1.0,0.8159469837596476,0.8159469837596476,1.0,0.0
RPA2331,Aerobic,31.0,0.8204717130011534,0.848545926543075,17.0,14.0
RPA2331,Anaerobic,3.0,0.8185982963219498,0.8376425659177639,3.0,0.0
RPA2502,Aerobic,116.0,0.8344462937587522,0.9208518000173274,50.0,66.0
RPA2502,Anaerobic,2.0,0.8116915363317967,0.8153507466048265,2.0,0.0
RPA2540,Aerobic,144.0,0.8632036492703379,0.9674938193415318,38.0,106.0
RPA2540,Anaerobic,60.0,0.8482282397803608,0.9241090409816584,42.0,18.0
RPA2543,Aerobic,32.0,0.8392556632411842,0.919254920987556,24.0,8.0
RPA2543,Anaerobic,40.0,0.837803437561466,0.9424504731646516,17.0,23.0
RPA2592,Aerobic,16.0,0.8184905430111117,0.8744872127500283,13.0,3.0
RPA2592,Anaerobic,1.0,0.8476997951593832,0.8476997951593832,1.0,0.0
RPA2731,Aerobic,4.0,0.8371368608848859,0.8554001578268055,3.0,1.0
RPA2731,Anaerobic,13.0,0.8375535277860754,0.8942286461445117,7.0,6.0
RPA2749,Anaerobic,3.0,0.8308990131982773,0.8754499071377364,3.0,0.0
RPA2901,Aerobic,28.0,0.838584304164596,0.9275888275792874,21.0,7.0
RPA2901,Anaerobic,1.0,0.821918308173408,0.821918308173408,1.0,0.0
RPA2966,Aerobic,58.0,0.8384851502453764,0.8947987030966664,15.0,43.0
RPA3151,Anaerobic,1.0,0.8398107573087625,0.8398107573087625,1.0,0.0
RPA3360,Aerobic,22.0,0.8334094768654707,0.9041561835471787,8.0,14.0
RPA3360,Anaerobic,11.0,0.8382235621589104,0.938171426494204,10.0,1.0
RPA3592,Aerobic,16.0,0.8339628460471824,0.8819973743719366,14.0,2.0
RPA3592,Anaerobic,1.0,0.8641301772255887,0.8641301772255887,1.0,0.0
RPA3619,Aerobic,1.0,0.8377104865436682,0.8377104865436682,0.0,1.0
RPA3619,Anaerobic,1.0,0.8292489416125324,0.8292489416125324,1.0,0.0
RPA3643,Anaerobic,1.0,0.850190689444503,0.850190689444503,1.0,0.0
RPA3803,Aerobic,228.0,0.862386893109249,0.9585546446791873,136.0,92.0
RPA3803,Anaerobic,20.0,0.8298178192810306,0.8716929040746169,11.0,9.0
RPA3972,Aerobic,2.0,0.8986804395068639,0.9063926247332712,2.0,0.0
RPA3972,Anaerobic,3.0,0.8479212806430988,0.8822751299148335,3.0,0.0
RPA4025,Aerobic,5.0,0.8153346813355974,0.8261001252183131,4.0,1.0
RPA4025,Anaerobic,2.0,0.8249470875921086,0.8358273752519845,2.0,0.0
RPA4072,Aerobic,104.0,0.8400483709448016,0.9210590556106981,44.0,60.0
RPA4072,Anaerobic,1.0,0.8077247530653948,0.8077247530653948,1.0,0.0
RPA4175,Aerobic,7.0,0.8087679917935641,0.8353454542717411,7.0,0.0
RPA4230,Anaerobic,2.0,0.8318437591230727,0.8327833879536628,2.0,0.0
RPA4395,Aerobic,12.0,0.8388245641785188,0.8944526985671619,3.0,9.0
RPA4395,Anaerobic,1.0,0.8094626936725147,0.8094626936725147,1.0,0.0
RPA4442,Anaerobic,2.0,0.833366640846989,0.8397402244261736,1.0,1.0
RPA4791,Aerobic,106.0,0.8382883426772717,0.9181903654639205,43.0,63.0
RPA4791,Anaerobic,24.0,0.8329092005350889,0.8856221396326824,21.0,3.0
