feature,UniProt ID,Description,KEGGID,KO_ID,Pathway_IDs,Pathway_Names,pan_bio_class,pan_bio_class_short,parent_cluster,consensus_pass,cluster_condition_keys,regime_importance_label,PAN_global_mean_normSHAP,Ae_mean_normSHAP,An_mean_normSHAP,AeAn_delta_An_minus_Ae,total_var_normSHAP,regime_var_frac,within_var_normSHAP,p_regime_Ae_vs_An,q_regime_Ae_vs_An,d_out,d_all,z_out_rank,z_all_rank,quad,mean_abs_shap,consensus_score,Ac+CA_ae,Ac+CA_an,Ac+KL_ae,ANCHOR:Ac_ae,ANCHOR:Ac_an,Ac+KL_an,Ac+SA_ae,Ac+SA_an,Ac+SF_ae,Ac+SF_an,Ac+pCA_ae,Ac+pCA_an,CA_an,SF_ae,pC_ae,pC_an,BREADTH_frac_ge1x,BREADTH_frac_ge2x,BREADTH_frac_ge5x,q_value_O2_DEG,AeAn_direction,gene,shap_rank,module,mod_gr_r,mod_gr_abs_r,in_gr_module,tier
RPA3482,Q6N458,Putative membrane protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3482 PE=3 SV=1,rpa:TX73_018020,K07799,rpa02020,Two-component system,Context-dependent modulator,Context-modulator,44,True,CA_an,Regime-invariant importance,56035068031.93916,4196154942.983788,107873981120.8945,103677826177.9107,1.302255359268344e+22,0.2063552966872856,1.033528068243917e+22,0.0866479816724167,0.6281977902611812,3.023393493257773e-05,2.964440546378812e-05,1.774690858934087,1.735051563032143,HH,0.0002476711010149784,7.899932710013855,0.0,176376018054.1204,0.0,0.0,65.36880013519088,38587530682.9786,0.0,34139825942.18653,33569239543.8703,0.0,0.0,0.0,412437642735.4579,0.0,0.0,201450831487.044,0.4375,0.4375,0.4375,2.427934497228802e-07,Ae_up,RPA3482,1,2,-0.7644137444796071,0.7644137444796071,True,Tier2_AdaptiveGeneralist_HH
PRPA5,Q6NDV7,Resolvase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=res PE=3 SV=1,,,,,Context-dependent modulator,Context-modulator,6,True,pC_an,Regime-invariant importance,52516445756.99554,2611504570.705801,102421386943.2853,99809882372.57947,3.225417413940798e+22,0.07721491004676365,2.976367098460094e+22,0.2992638491351829,0.6281977902611812,3.625467468614806e-05,3.513537554891518e-05,2.123720063647796,2.075983191147802,HH,0.000231301470098842,5.585037125158248,1621365826.19484,4026418609.29367,0.0,0.0,0.0,8932592547.581312,0.0,26278498430.17021,2692168206.808928,937366815.9620975,0.0,22623746241.10394,31668684227.18119,9911231171.066887,6667271361.575757,724903788674.9897,0.6875,0.6875,0.6875,1.232708468116583e-08,Ae_up,PRPA5,2,2,-0.7644137444796071,0.7644137444796071,True,Tier2_AdaptiveGeneralist_HH
RPA3416,Q6N4C3,Protein with 2 CBS domains OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3416 PE=4 SV=1,rpa:TX73_017665,,,,Oxygen-bridging pan-condition core,O2-bridging core,51,True,SF_ae,Regime-invariant importance,47512312356.00305,29286031363.99622,65738593348.00989,36452561984.01367,5.583183771197795e+21,0.05949962107880273,5.250986452398205e+21,0.348025280363602,0.6281977902611812,1.680822219101638e-05,1.663362862962696e-05,0.609773124716852,0.6025487090076628,HH,0.0002099205376952551,4.705605103702119,50868571564.64828,199367636966.7173,0.0,2502631321.507206,49.38844110550758,2547322318.816645,0.0,180550701721.3211,0.0,854835496.5265172,2806857876.210719,0.0,32419029982.11491,178110190149.6035,0.0,110169220249.1942,0.6875,0.6875,0.6875,6.286537196934044e-09,Ae_up,RPA3416,3,13,-0.6061558419768247,0.6061558419768247,True,Tier1_UniversalCore_HH
RPA0655,O07458,Transcriptional activatory protein BadR OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=badR PE=1 SV=1,,,,,Context-dependent modulator,Context-modulator,6,True,pC_an,Regime-invariant importance,47282218717.25082,0.0,94564437434.50163,94564437434.50163,3.576973130921509e+22,0.06250000000000001,3.353412310238915e+22,0.3506166628202076,0.6281977902611812,1.294541232409307e-05,1.274184396039291e-05,0.6771712369682283,0.6802258162950605,HH,0.0002082480362330744,3.716477258531468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756515499476.0131,0.0625,0.0625,0.0625,0.0005264126986083145,An_up,RPA0655,4,3,0.7011770108380053,0.7011770108380053,True,Tier2_AdaptiveGeneralist_HH
RPA3328,Q6N4K9,Possible transcriptional regulator XRE family OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3328 PE=4 SV=1,rpa:TX73_017200,,,,Context-dependent modulator,Context-modulator,44,True,CA_an,Regime-invariant importance,39669232560.88569,10434864374.70811,68903600747.06326,58468736372.35516,8.456872085822833e+21,0.1010596204568035,7.602223802577842e+21,0.2327319595154987,0.6281977902611812,2.658103558333886e-05,2.696474194657319e-05,1.559125559723721,1.576600666221405,HH,0.0001747176846560197,6.643098412402451,0.0,2681145097.303748,57011842009.49368,2368840603.572954,0.0,0.0,0.0,0.0,0.0,19948183804.8091,16120232538.29641,15901756945.17042,346804697361.4981,0.0,7977999846.301824,165893022767.7248,0.5625,0.5625,0.5625,1.577627692755019e-10,Ae_up,RPA3328,5,1,-0.6150968944808747,0.6150968944808747,True,Tier2_AdaptiveGeneralist_HH
RPA4740,Q6N0M2,Putative 4-carboxymuconolactone decarboxylase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=pcaC PE=4 SV=1,rpa:TX73_024630,K01607,"rpa00362,rpa01100,rpa01120,rpa01220","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds",Context-dependent modulator,Context-modulator,3,True,Ac+pCA_an,Regime-invariant importance,31724352768.79732,0.0,63448705537.59464,63448705537.59464,1.461287734416039e+22,0.06887312709849648,1.360644278556129e+22,0.3270730876329671,0.6281977902611812,3.578053769507931e-05,3.601691400274426e-05,0.368388776101319,0.370664614431181,HH,0.0001405022784742662,4.477384951345766,0.0,0.0,0.0,0.0,58.20374466887193,755251883.9761021,0.0,22273310194.99633,0.0,0.0,0.0,484561082163.5809,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.004847163170523417,Ae_up,RPA4740,6,2,-0.7644137444796071,0.7644137444796071,True,Tier2_AdaptiveGeneralist_HH
RPA0392,Q6NCS7,Argininosuccinate synthase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=argG PE=3 SV=1,,,,,Context-dependent modulator,Context-modulator,44,True,CA_an,Regime-invariant importance,22456495613.12799,1748058288.916744,43164932937.33924,41416874648.4225,4.478981891093623e+21,0.0957448337229327,4.050142514682837e+21,0.2473203643409503,0.6281977902611812,2.165030405541071e-05,2.142873110128706e-05,1.268152687075235,1.249251401078871,HH,0.0001035563278622945,6.973490067147121,190321031.368415,0.0,0.0,831235427.7130373,348.4301333644217,18921654250.92533,0.0,0.0,5626303594.784325,24489534337.2913,0.0,15376628974.05221,271567865373.3674,7336606257.468177,0.0,14963780214.64761,0.625,0.625,0.625,0.002636682679214358,Ae_up,RPA0392,7,6,-0.09203941687622337,0.09203941687622337,False,Tier2_AdaptiveGeneralist_HH
RPA4678,Q6N0T3,Possible outer membrane protein OprF (AF117972) OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4678 PE=4 SV=1,rpa:TX73_024315,,,,Context-dependent modulator,Context-modulator,44,True,CA_an,Regime-invariant importance,22166233139.09631,8557547008.007817,35774919270.1848,27217372262.17698,2.159745025932019e+21,0.08574916760581978,1.974548687717538e+21,0.2722720607219812,0.6281977902611812,1.21382176197541e-05,1.238634067573808e-05,0.7068243934160011,0.7145667800298043,HH,9.762812844095954e-05,4.255971094498324,0.0,2346742043.737472,9684921727.705719,3630457701.469007,0.0,0.0,0.0,3233205894.106074,10042110983.19226,2252568725.961209,20631106383.30407,0.0,127776618049.495,24471779268.39148,0.0,150590219448.1787,0.625,0.625,0.625,5.147760525015384e-15,An_up,RPA4678,8,3,0.7011770108380053,0.7011770108380053,True,Tier2_AdaptiveGeneralist_HH
RPA2460,Q6N703,Tyrosine--tRNA ligase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=tyrS PE=3 SV=1,,,,,Oxygen-bridging pan-condition core,O2-bridging core,44,True,CA_an,Regime-invariant importance,21253280312.38599,6179230995.422664,36327329629.34931,30148098633.92665,4.91015911887051e+21,0.04627690413065713,4.682932156060267e+21,0.4215365208349615,0.6345826914610032,2.506585012231558e-05,2.546662523121385e-05,1.469711268215049,1.488015686969024,HH,9.360715314636125e-05,5.561419258898645,29619222946.1095,0.0,0.0,0.0,0.0,6959423155.584603,0.0,0.0,8359901185.341053,1145304985.673833,0.0,0.0,282513908893.5361,6946355431.2292,4508368400.701544,0.0,0.4375,0.4375,0.4375,0.7893930994191974,ns,RPA2460,9,6,-0.09203941687622337,0.09203941687622337,False,Tier1_UniversalCore_HH
RPA3763,Q6N3D1,Putative acetolactate synthase large subunit OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=ilvB PE=3 SV=1,rpa:TX73_019485,K01652,"rpa00290,rpa00650,rpa00660,rpa00770,rpa01100,rpa01110,rpa01210,rpa01230","Valine, leucine and isoleucine biosynthesis, Butanoate metabolism, C5-Branched dibasic acid metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",Context-dependent modulator,Context-modulator,6,True,pC_an,Regime-invariant importance,19138204932.31566,1381304510.100771,36895105354.53054,35513800844.42977,4.91893282257348e+21,0.06410079665196425,4.603625309969024e+21,0.3444063721043654,0.6281977902611812,9.950343051917429e-06,1.033805355871731e-05,0.4913003211840131,0.5304009363972152,HH,8.429159422518335e-05,2.268890878907189,0.0,0.0,0.0,540832228.8712561,0.0,0.0,0.0,0.0,0.0,0.0,10509603851.93491,13465506694.63265,0.0,0.0,0.0,281695336141.6117,0.25,0.25,0.25,3.679481624192325e-05,Ae_up,RPA3763,10,13,-0.6061558419768247,0.6061558419768247,True,Tier2_AdaptiveGeneralist_HH
