protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class,shap_rank,mean_abs_shap,annotation,n_coexpr_targets
RPA2460,6,-0.7256791014630364,0.7256791014630364,-0.0772617326423021,0.0772617326423021,0.4957493070819713,False,0.5682755945995189,Tier 1 only,9,9.360715314636125e-05,Tyrosine--tRNA ligase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=tyrS PE=3 SV=1,1
RPA3185,17,-0.7990263212001415,0.7990263212001415,-0.3462774767542774,0.3462774767542774,0.0016528972801907523,False,0.0037941041400670296,Tier 1 only,12,7.616889128207254e-05,Methyl-accepting chemotaxis receptor/sensory transducer OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3185 PE=3 SV=1,47
RPA2501,6,-0.7681086372118504,0.7681086372118504,0.17222721698484555,0.17222721698484555,0.12660132597490822,False,0.17531593015317268,Tier 1 only,15,6.124400332561376e-05,Poly-beta-hydroxybutyrate synthase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=phbC PE=4 SV=1,8
RPA4677,13,-0.1543439125875098,0.1543439125875098,-0.0057055301701128824,0.0057055301701128824,0.9599398668060615,True,0.9682236845222866,Tier 1 only,16,5.729370955352317e-05,Caspase-1 p20:TPR repeat OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4677 PE=4 SV=1,0
RPA3761,8,0.6966172362716984,0.6966172362716984,0.3882880064498423,0.3882880064498423,0.00037224396677954533,False,0.0010210591525991368,Tier 1 only,25,4.304738629274249e-05,Putative catechol 23-dioxygenase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA3761 PE=3 SV=1,2
RPA1835,10,-0.8013415843393408,0.8013415843393408,0.4233008377837408,0.4233008377837408,9.148528709082734e-05,False,0.0002909044146021685,Tier 1 only,27,3.944473076874837e-05,Methylmalonyl-CoA mutase subunit alpha N-terminus OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=mutB PE=4 SV=1,6
RPA4196,4,0.3537226583846312,0.3537226583846312,-0.14563369758170158,0.14563369758170158,0.1974081979729058,False,0.25888914098565396,Tier 1 only,29,3.871864908612123e-05,TPR repeat OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA4196 PE=4 SV=1,8
RPA2435,2,-0.24340318024485721,0.24340318024485721,0.14961288551236454,0.14961288551236454,0.1853083594381682,True,0.2449235754282408,Tier 1 only,34,3.094857647556444e-05,Biotin carboxylase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=accC PE=4 SV=1,0
RPA2671,18,0.4529373506622503,0.4529373506622503,-0.1798329868843544,0.1798329868843544,0.11044351406766309,False,0.15620228912692335,Tier 1 only,35,2.677446510733642e-05,Putative FAD-dependent monoxygenase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA2671 PE=3 SV=1,0
RPA0595,4,0.5993382794976139,0.5993382794976139,0.06549488393356126,0.06549488393356126,0.563801218657589,False,0.6280821118600958,Tier 1 only,40,2.546824225891309e-05,Methyltransferase type 11 domain-containing protein OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=RPA0595 PE=4 SV=1,6
