module,n_proteins,ME_GR_r,ME_GR_p,ME_GR_q,is_GR_module
1,301,-0.6150968944808747,1.2749531789895231e-09,5.609793987553902e-09,True
2,228,-0.7644137444796071,1.5799942438720226e-16,3.4759873365184496e-15,True
3,140,0.7011770108380053,4.401525637823597e-13,2.4208391008029782e-12,True
4,135,0.1907718068154067,0.09006293415610446,0.11655203243731166,False
5,97,-0.12040674414776421,0.2873842716178886,0.3327607355575552,False
6,89,-0.09203941687622337,0.41679462460317984,0.4366419876795217,False
7,87,0.7047771165023787,2.964801696312733e-13,2.1741879106293376e-12,True
8,87,0.25136836950793007,0.02450186233842049,0.03850292653180363,False
9,85,-0.7108674866789133,1.4988783476795044e-13,1.6487661824474549e-12,True
10,81,-0.45471877783615555,2.2621488248852456e-05,6.220909268434425e-05,False
11,71,0.18763374902905441,0.0955795311565411,0.11681942696910577,False
12,71,-0.4180329012457563,0.00011412706515498811,0.00025107954334097386,False
13,69,-0.6061558419768247,2.5490992764705435e-09,9.34669734705866e-09,True
14,66,-0.36688938014314376,0.0008155651161187537,0.0016311302322375074,False
15,56,0.10230004092856457,0.3665414582769011,0.4031956041045912,False
16,41,-0.47243125291581767,9.664810993058434e-06,3.0375120263897937e-05,False
17,37,0.34558391883036077,0.0016912901569099928,0.0028621833424630648,False
18,25,-0.23162940573209054,0.03870061161328124,0.05547627815022515,False
19,24,-0.0031207105759207127,0.9780822810970339,0.9780822810970339,False
20,24,-0.44968616934481676,2.856129501787449e-05,6.981649893258208e-05,False
21,23,-0.22975749914286836,0.04034638410925465,0.05547627815022515,False
22,20,0.35200748180135577,0.0013645675906550354,0.002501707249534232,False
