protein,module,in_GR_module
RPA0002,4,False
RPA0004,1,True
RPA0008,10,False
RPA0009,6,False
RPA0010,9,True
RPA0016,7,True
RPA0018,3,True
RPA0021,4,False
RPA0022,2,True
RPA0025,8,False
RPA0027,2,True
RPA0028,6,False
RPA0030,16,False
RPA0031,2,True
RPA0035,3,True
RPA0036,1,True
RPA0037,4,False
RPA0038,1,True
RPA0041,9,True
RPA0043,1,True
RPA0045,6,False
RPA0046,9,True
RPA0047,20,False
RPA0048,15,False
RPA0049,6,False
RPA0050,18,False
RPA0051,14,False
RPA0052,20,False
RPA0053,10,False
RPA0054,12,False
RPA0055,1,True
RPA0058,17,False
RPA0059,12,False
RPA0060,15,False
RPA0061,16,False
RPA0063,8,False
RPA0064,6,False
RPA0065,1,True
RPA0066,1,True
RPA0067,11,False
RPA0068,17,False
RPA0069,2,True
RPA0070,11,False
RPA0071,18,False
RPA0073,1,True
RPA0075,7,True
RPA0076,4,False
RPA0078,1,True
RPA0080,12,False
RPA0083,14,False
RPA0085,15,False
RPA0089,17,False
RPA0090,9,True
RPA0091,3,True
RPA0092,1,True
RPA0095,11,False
RPA0109,12,False
RPA0118,16,False
RPA0119,16,False
RPA0122,3,True
RPA0136,1,True
RPA0139,15,False
RPA0144,3,True
RPA0147,1,True
RPA0157,7,True
RPA0158,5,False
RPA0159,13,True
RPA0162,14,False
RPA0164,13,True
RPA0168,1,True
RPA0169,11,False
RPA0170,11,False
RPA0171,2,True
RPA0173,6,False
RPA0174,4,False
RPA0175,2,True
RPA0176,4,False
RPA0178,6,False
RPA0179,14,False
RPA0180,3,True
RPA0185,3,True
RPA0186,2,True
RPA0188,4,False
RPA0189,6,False
RPA0190,5,False
RPA0191,14,False
RPA0192,16,False
RPA0193,1,True
RPA0196,4,False
RPA0198,5,False
RPA0199,13,True
RPA0202,6,False
RPA0206,14,False
RPA0207,20,False
RPA0209,14,False
RPA0211,1,True
RPA0215,2,True
RPA0216,4,False
RPA0217,1,True
RPA0218,5,False
RPA0221,1,True
RPA0222,8,False
RPA0224,7,True
RPA0225,17,False
RPA0227,14,False
RPA0228,8,False
RPA0230,12,False
RPA0232,16,False
RPA0233,16,False
RPA0234,15,False
RPA0235,2,True
RPA0236,2,True
RPA0240,18,False
RPA0241,5,False
RPA0242,4,False
RPA0243,8,False
RPA0244,2,True
RPA0245,11,False
