protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA0002,4,0.35116691098732844,0.35116691098732844,0.03741557623810032,0.03741557623810032,0.7417751355232689,False,0.7826570606060854,Other
RPA0004,1,-0.8101156935247134,0.8101156935247134,0.4779462454065909,0.4779462454065909,7.344323191297844e-06,True,2.9713307551721342e-05,Other
RPA0008,10,-0.3239801174574308,0.3239801174574308,0.0016509639380731522,0.0016509639380731522,0.9884037378510363,False,0.991072214465105,Other
RPA0009,6,-0.9608618334978158,0.9608618334978158,0.04304630992549845,0.04304630992549845,0.7045882799005387,False,0.7493816928839063,Other
RPA0010,9,0.2354434906024761,0.2354434906024761,-0.303102165269895,0.303102165269895,0.006276619679652569,True,0.012376101070476302,Other
RPA0016,7,-0.7790590407584195,0.7790590407584195,-0.43088537740290284,0.43088537740290284,6.611032844333795e-05,True,0.00021538049108645364,Other
RPA0018,3,-0.776705518764945,0.776705518764945,-0.5709373206332806,0.5709373206332806,3.204959445401991e-08,True,2.1255748893255348e-07,Other
RPA0021,4,0.563539031014792,0.563539031014792,0.16820634579928273,0.16820634579928273,0.13584234963810282,False,0.18630667893497557,Other
RPA0022,2,-0.6623356036561763,0.6623356036561763,0.5880229647812373,0.5880229647812373,9.74607224180495e-09,True,7.26845628635815e-08,Other
RPA0025,8,0.5944948888119523,0.5944948888119523,0.46104342234399065,0.46104342234399065,1.67875743469391e-05,False,6.247399912277737e-05,Other
RPA0027,2,-0.4515613391080548,0.4515613391080548,0.20700187495144984,0.20700187495144984,0.06542381985012562,True,0.10115906199973627,Other
RPA0028,6,-0.826362899674746,0.826362899674746,0.040599272110012206,0.040599272110012206,0.7206701729774722,False,0.7638610223853686,Other
RPA0030,16,0.8011010943821381,0.8011010943821381,-0.35721576697783786,0.35721576697783786,0.0011428157795469575,False,0.002770507705768538,Other
RPA0031,2,-0.8412505136813757,0.8412505136813757,0.7154290731896615,0.7154290731896615,8.889293196665321e-14,True,2.3249883755221833e-12,Other
RPA0035,3,-0.8322474938363542,0.8322474938363542,-0.6275362380020547,0.6275362380020547,4.686378861096249e-10,True,4.808069361909246e-09,Other
RPA0036,1,-0.5887787016358508,0.5887787016358508,0.33987808293541094,0.33987808293541094,0.0020389749945511513,True,0.004606297524186725,Other
RPA0037,4,0.8371079598336972,0.8371079598336972,0.10459082215388864,0.10459082215388864,0.3558502702859512,False,0.4296579661384989,Other
RPA0038,1,-0.2610606894253318,0.2610606894253318,0.07374582935293453,0.07374582935293453,0.5156226799222048,True,0.5867103655732441,Other
RPA0041,9,0.5313164501970089,0.5313164501970089,-0.26513878444427547,0.26513878444427547,0.017460819517612122,True,0.031139072864512746,Other
